ID|Word|POS|RelationClass|Relation|RootHypernyms|Synonyms|Examples|Count|Prob|Definition|implication|SpatialScale|Enetity
88|overhead|RB|direction|above|overhead.r.02|overhead,2|bring the legs together overhead|2|0.5|above the head; over the head|none|object|living things
89|overseas|RB|proximity|elsecountry|oversea.r.01|oversea,0;overseas,1|He lived overseas for many years|1|0.5|beyond or across the sea|none|object|living things
90|overseas|RB|proximity|elsecountry|overseas.r.02|overseas,1;abroad,1||1|0.5|in a place across an ocean|none|object|living things
91|rearward|RB|direction|back|back.r.02|back,36;backward,4;backwards,1;rearward,4;rearwards,0|he moved back;tripped when he stepped backward;she looked rearward out the window of the car|4|1|at or to or toward the back or rear|none|object|living things
92|right|RB|direction|right|right.r.04|right,4|he looked right and left;the party has moved right|4|0.07|toward or on the right; also used figuratively|none|object|living things
93|somewhere|RB|proximity|near|somewhere.r.01|somewhere,30;someplace,1|she must be somewhere|30|1|in or at or to some place; (`someplace' is used informally for `somewhere')|none|object|living things
94|southward|RB|direction|south|southerly.r.01|southerly,0;southward,3;southwards,0|the ship turned southerly|3|1|toward the south|none|object|living things
95|there|RB|proximity|there|there.r.01|there,181;at_that_place,0;in_that_location,0|they have lived there for years;it's not there;that man there|181|0.96|in or at that place|some location|any|any
96|there|RB|proximity|there|there.r.03|there,2;thither,6|go there around noon!|2|0.01|to or toward that place; away from the speaker|none|object|living things
97|through|RB|direction|across|through.r.04|through,0|this cylinder measures 15 inches through|0|0|in diameter|none|object|living things
98|through|IN|direction|across|through.r.05|through,0;through_and_through,0|got soaked through in the rain;I'm frozen through;a letter shot through with the writer's personality;knew him through and through;boards rotten through and through|0|0|throughout the entire extent|none|object|living things
99|to|RB|to|to|||||||||
100|under|RB|direction|below|under.r.07|under,0|get under quickly!|0|0|down below|none|object|living things
101|underneath|RB|direction|below|underneath.r.01|underneath,0|a chest of drawers all scratched underneath|0|0.5|on the lower or downward side; on the underside of|none|object|living things
102|underneath|RB|direction|below|underneath.r.02|underneath,0|we could see the original painting underneath;a house with a good foundation underneath|0|0.5|under or below an object or a surface; at a lower place or level; directly beneath|none|object|living things
103|up|RB|direction|front|up.r.03|up,0|he walked up and grabbed my lapels|0|0|nearer to the speaker|none|object|living things
104|up|RB|direction|north|up.r.04|up,0|was transferred up to headquarters;up to Canada for a vacation|0|0|to a more central or a more northerly place|none|object|living things
105|up and down|RB|proximity|near|up_and_down.r.01|up_and_down,6|he walked up and down the locker room;all up and down the Eastern seaboard|6|0.67|moving backward and forward along a given course|none|object|living things
106|upstairs|RB|direction|below|upstairs.r.01|upstairs,13;up_the_stairs,6;on_a_higher_floor,0|they lived upstairs|13|1|on a floor above|none|object|living things
107|upward|RB|direction|up|up.r.01|up,79;upwards,3;upward,6;upwardly,0|look up!;the music surged up;the fragments flew upwards;prices soared upwards;upwardly mobile|6|1|spatially or metaphorically from a lower to a higher position|none|object|living things
108|upwards|RB|direction|up|up.r.01|up,79;upwards,3;upward,6;upwardly,0|look up!;the music surged up;the fragments flew upwards;prices soared upwards;upwardly mobile|3|1|spatially or metaphorically from a lower to a higher position|none|object|living things
109|westward|RB|direction|west|westward.r.01|westward,3;westwards,1|they traveled westward toward the setting sun|3|1|toward the west|none|object|living things
110|wide|RB|proximity|far|wide.r.01|wide,4|stand with legs wide apart;ran wide around left end|4|0.8|with or by a broad space|none|object|living things
111|wide|RB|proximity|far|wide.r.02|wide,1|open your eyes wide;with the throttle wide open|1|0.2|to the fullest extent possible|none|object|living things
112|wide|RB|proximity|far|wide.r.03|wide,0;astray,0|the arrow went wide of the mark;a bullet went astray and killed a bystander|0|0|far from the intended target|none|object|living things
113|wide|RB|proximity|far|wide.r.04|wide,0;widely,2|wandered wide through many lands;he traveled widely|0|0|to or over a great extent or range; far|none|object|living things
114|within|IN|overlay|within|inside.r.02|inside,14;within,6|inside, the car is a mess|6|1|on the inside|none|object|living things
