ID|Word|IsPreposition|IsAdverb|SemanticRole|SemanticOrder|RelationClass|Relation|Examples|Count|Prob|Definition|implication|SpatialScale|Enetity|Synonyms|RootHypernyms
203|through|0|1|spatial||||got soaked through in the rain;I'm frozen through;a letter shot through with the writer's personality;knew him through and through;boards rotten through and through|0|0|throughout the entire extent|none|object|living things|through,0;through_and_through,0|through.r.05
205|throughout|0|1|spatial|||||0|0|used to refer to cited works|none|object|living things|passim,0;throughout,0|passim.r.01
207|under|0|1|spatial||||children six and under will be admitted free|0|0|through a range downward|none|object|living things|under,0|under.r.02
208|under|0|1|spatial||||this will put the patient under|0|0|into unconsciousness|none|object|living things|under,0|under.r.03
209|under|0|1|spatial||||we must keep our disappointment under|0|0|in or into a state of subordination or subjugation|none|object|living things|under,0|under.r.04
210|under|0|1|spatial||||fifty dollars or under|0|0|below some quantity or limit|none|object|living things|under,0|under.r.05
211|under|0|1|spatial||||the sun went under|0|0|below the horizon|none|object|living things|under,0|under.r.06
212|under|0|1|spatial||||get under quickly!|0|0|down below|none|object|living things|under,0|under.r.07
213|under|0|1|spatial||||see under for further discussion|0|0|further down|none|object|living things|under,0;below,0|under.r.08
215|underfoot|0|1|spatial||||a house with children and pets and toys always underfoot|0|0|in the way and hindering progress|none|object|living things|underfoot,0|underfoot.r.02
216|underneath|0|1|spatial||||a chest of drawers all scratched underneath|0|0.5|on the lower or downward side; on the underside of|none|object|living things|underneath,0|underneath.r.01
217|underneath|0|1|spatial||||we could see the original painting underneath;a house with a good foundation underneath|0|0.5|under or below an object or a surface; at a lower place or level; directly beneath|none|object|living things|underneath,0|underneath.r.02
219|up|0|1|spatial||||he turned up the volume|0|0|to a higher intensity|none|object|living things|up,0|up.r.02
220|up|0|1|spatial||||he walked up and grabbed my lapels|0|0|nearer to the speaker|none|object|living things|up,0|up.r.03
221|up|0|1|spatial||||was transferred up to headquarters;up to Canada for a vacation|0|0|to a more central or a more northerly place|none|object|living things|up,0|up.r.04
222|up|0|1|spatial||||they moved the meeting date up;from childhood upward|0|0|to a later time|none|object|living things|up,0;upwards,0;upward,0|up.r.05
225|uphill|0|1|spatial||||she was talking uphill|0|0.5|against difficulties|none|object|living things|uphill,0|uphill.r.01
226|uphill|0|1|spatial||||this street lay uphill|0|0.5|upward on a hill or incline|none|object|living things|uphill,0|uphill.r.02
228|upstairs|0|1|spatial||||she's a bit weak upstairs|0|0|with respect to the mind|none|object|living things|upstairs,0|upstairs.r.02
230|upward|0|1|spatial||||they moved the meeting date up;from childhood upward|0|0|to a later time|none|object|living things|up,0;upwards,0;upward,0|up.r.05
232|upwards|0|1|spatial||||they moved the meeting date up;from childhood upward|0|0|to a later time|none|object|living things|up,0;upwards,0;upward,0|up.r.05
236|wide|0|1|spatial||||the arrow went wide of the mark;a bullet went astray and killed a bystander|0|0|far from the intended target|none|object|living things|wide,0;astray,0|wide.r.03
237|wide|0|1|spatial||||wandered wide through many lands;he traveled widely|0|0|to or over a great extent or range; far|none|object|living things|wide,0;widely,2|wide.r.04
